Название,Описание,Доп. описание,Ссылка,Будущее название файла,Будущее описание файла,Будущее доп. описание файла,Будущая ссылка на файл,Изменения
IACS-Ballast-water-management-Position-paper-Rev.3.pdf,,,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2023/08/04170956/IACS-Ballast-water-management-Position-paper-Rev.3.pdf,,,,,Новый файл
IACS-Container-Ship-Safety-Position-Paper.pdf,,,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2023/08/04171001/IACS-Container-Ship-Safety-Position-Paper.pdf,,,,,Новый файл
IACS-Cyber-Position-Paper-Rev2.pdf,,,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2023/08/04171007/IACS-Cyber-Position-Paper-Rev2.pdf,,,,,Новый файл
IACS-GHG-Emissions-Position-paper-Rev.4.pdf,,,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2023/09/29165526/IACS-GHG-Emissions-Position-paper-Rev.4.pdf,,,,,Новый файл
IACS-MASS-Position-paper-Rev3.pdf,,,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2023/09/29165530/IACS-MASS-Position-paper-Rev3.pdf,,,,,Новый файл
IACS-TechFuels-Position-Paper.pdf,,,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2023/08/04171023/IACS-TechFuels-Position-Paper.pdf,,,,,Новый файл
IACS-Underwater-Noise-Pollution.pdf,,,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2023/08/04171030/IACS-Underwater-Noise-Pollution.pdf,,,,,Новый файл
Charter-and-Annexes-2009-Rev.10-CLN.pdf,,,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/18180455/Charter-and-Annexes-2009-Rev.10-CLN.pdf,,,,,Новый файл
IACS-Procedures-Vol-1-Rev-18-CLN.pdf,,,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/18175944/IACS-Procedures-Vol-1-Rev-18-CLN.pdf,,,,,Новый файл
iacs-procedures-vol-2-issue-2-rev-2-clean.pdf,,,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/16112403/iacs-procedures-vol-2-issue-2-rev-2-clean.pdf,,,,,Новый файл
IACS-Procedures-Vol-3-Rev.12-December-2022-CLEAN.pdf,,,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/18180207/IACS-Procedures-Vol-3-Rev.12-December-2022-CLEAN.pdf,,,,,Новый файл
IACS-Procedures-V4-Rev-09-CLN.pdf,,,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/18180234/IACS-Procedures-V4-Rev-09-CLN.pdf,,,,,Новый файл
PR 1A Rev8 CLN,"<p>PR 1A Procedure for Transfer of Class &#8211; Rev.8 Apr 2021 Clean</p>
","PR 1A Rev.9 will come into force on 1 July 2024 and can be found in ""Versions""",https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/01/06130943/pr1arev8.pdf,PR 1A Rev9 CLN ,"<p>PR 1A Procedure for Transfer of Class &#8211; Rev.9 Aug 2023 Clean.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/01/11144441/PR-1A-Rev.9-Aug-2023-CLN.pdf,Новый файл
PR 1B Rev6 CLN,"<p>PR 1B Procedure for Adding, Assigning, Maintaining or Withdrawing Double or Dual Class &#8211; Rev.6 Nov 2020 Clean.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10112637/pr1brev6.pdf,,,,,Новый файл
PR 1C Rev6 CLN,"<p>PR 1C Procedure for Suspension and Reinstatement or Withdrawal of Class in Case of Surveys, Conditions of Class or Recommendations Going Overdue &#8211; Rev.6 May 2019 Clean</p>
",Addendum Notice to PR 1C Rev.6 is valid until 30 September 2023,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2023/08/10163156/pr1crev6-2.pdf,,,,,Новый файл
PR 1C Rev6 Add Rev8 CLN WITHDRAWN,"<p>Addendum Notice to PR1C &#8211; Withdrawn from October 2023.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/04140301/PR-1C-Add-Rev8-Withdrawn-Oct-2023.pdf,,,,,Новый файл
PR 1D Rev2 CLN,"<p>Procedure for Class Entry of Ships not subject to PR1A or PR1B &#8211; Rev.2 May 2019 Clean.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10115734/pr1drev2.pdf,,,,,Новый файл
PR 1 Annex Rev5 CLN,"<p>PR 1 Annexes to PR1A, PR1B and PR1C &#8211; Rev.5 April 2021 Clean.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10120150/pr1annexrev5.pdf,,,,,Новый файл
"PR1A, PR1B, PR1C Contact Details","<p>List of Contact Points for PR1A, PR1B, PR1C Procedures for changing classification status &#8211; Updated in Dec 2023.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/12190408/Contact-Details-for-PR1A-PR1B-PR1C-Dec-2023.pdf,,,,,Новый файл
PR 2 Deleted,"<p>PR 2 Deleted January 2017.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10120446/pr_02_pdf89.pdf,,,,,Новый файл
PR 2A New,"<p>PR 2A Procedure for Hull Failure Incident Reporting &#8211; July 2015.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10120531/pr_02a_pdf2657.pdf,,,,,Новый файл
PR 2B New,"<p>Procedure for Early Warning of Serious Hull Failure Incidents &#8211; &#8220;Early Warning Scheme &#8211; EWS&#8221; &#8211; July 2015.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10120856/pr_02b_pdf2658.pdf,,,,,Новый файл
PR 3 Rev2 CLN,"<p>PR 3 Transparency of Classification and Statutory Information &#8211; Rev.2 May 2019 Clean</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/17111804/pr_03_rev1_pdf2702.pdf,,,,,Новый файл
PR 5 Rev0 CLN,"<p>PR 5 Definition of Exclusive Surveyor and Non-Exclusive Surveyor and Procedure for Employment and Control of Non-Exclusive Surveyors &#8211; Rev.0 July 2009.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10141413/pr_05_pdf91.pdf,,,,,Новый файл
PR 6 Rev4 CLN,"<p>Procedure for Activity Monitoring of Surveyors, Plan Approval Staff and Auditors/Inspectors &#8211; Rev.4 Aug 2020 Clean.</p>
",Note: Addendum Notice to PR 6 Rev.4 is valid until 30 June 2022 and can be found below,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10141501/pr6rev4.pdf,,,,,Новый файл
PR 7 Rev3 CLN,"<p>PR 7 Procedure for the Training and Qualification of Survey and Plan Approval Staff &#8211; Rev.3 Aug 2020 Clean.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10141626/pr7rev3.pdf,,,,,Новый файл
PR 8 Rev1 CLN,"<p>PR 8 Procedure for Responding to Port State Control &#8211; Rev.1 Dec 2010.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10141707/pr_08_pdf94.pdf,,,,,Новый файл
PR 9 Rev4 CLN,"<p>PR 9 Procedural Requirements for ISM Code Certification &#8211; Rev.4 Oct 2020 Clean.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10141744/pr9rev4.pdf,,,,,Новый файл
PR 10 Rev4 CLN,"<p>PR 10 Procedure for the Selection, Training, Qualification and Authorisation of Marine Management Systems Auditors &#8211; Rev.4 Oct 2020 Clean</p>
","PR 10 Rev.5 will come into force on 1 January 2024 and can be found in ""Versions""",https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2023/08/10130124/pr10rev4.pdf,PR 10 Rev5 CLN,"<p>PR 10 Procedure for the Selection, Training, Qualification and Authorisation of Marine Management Systems Auditors &#8211; Rev.5 Sep 2023 Clean</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2023/08/23174401/PR-10-Rev.5-Sep-2023CLN.pdf,Новый файл
PR 10B New,"<p>PR 10B Procedure for the Selection, Training, Qualification and Authorisation of Maritime Labour Inspectors &#8211; New Dec 2016</p>
","PR 10B Rev.1 will come into force on 1 January 2024 and can be found in ""Versions""",https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2023/08/10130319/pr_10b_pdf3037.pdf,PR 10B REV1 CLN,"<p>PR 10B Procedure for the Selection, Training, Qualification and Authorisation of Maritime Labour Inspectors &#8211; Rev.1 Sep 2023 Clean.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2023/08/23174610/PR-10BRev.1-Sep-2023CLN.pdf,Новый файл
PR 11 Rev1 CLN,"<p>PR 11 IACS Procedure for Assigning Date of Build. Rev.1 November 2010.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10145541/pr_11_pdf97.pdf,,,,,Новый файл
PR 12 Rev3 CLN,"<p>PR 12 Procedure for Statutory Certification at Change of Class without Change of Flag &#8211; Rev.3 May 2019 Clean.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10145622/pr12rev3.pdf,,,,,Новый файл
PR 14 Deleted,"<p>PR 14 Procedure for Reporting the List of Bulk Carriers Complying with UR’s S19, S22 and S23. Deleted July 2009.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10145701/pr_14_pdf99.pdf,,,,,Новый файл
PR 15 Deleted,"<p>PR 15 Procedure for Reporting the List of Ships Complying with ISM Code &#8211; Deleted (Mar 2009).</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10145741/pr_15_pdf100.pdf,,,,,Новый файл
PR 16 Rev1 Corr1 CLN,"<p>Procedure for providing lists of classed ships to Equasis &#8211; Rev.1 Corr.1 Nov 2020 Clean.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10150206/pr16corr1.pdf,,,,,Новый файл
PR 17 Rev2 CLN,"<p>PR 17 Reporting on deficiencies possibly affecting the implementation of the ISM Code on board &#8211; Rev.2 Oct 2020 Clean.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10150242/pr17rev2.pdf,,,,,Новый файл
PR 17 and PR 18 Contact Details,"<p>PR17 and PR18 &#8211; List of Contact Points for ISM &amp; ISPS Matters &#8211; Updated in Nov 2023</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/17135119/PR-17-and-PR-18-Contact-details-Nov-2023.pdf,,,,,Новый файл
PR 18 Rev1 CLN,"<p>PR 18 Transfer of Safety and Security Management Systems Certification. Rev.1 Sept 2012.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10150350/pr_18_pdf103.pdf,,,,,Новый файл
PR 19 Rev1 CLN,"<p>PR 19 Procedural Requirement for Thickness Measurements Rev.1 July 2017.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10150422/pr19rev1.pdf,,,,,Новый файл
PR 20 Rev3 CLN,"<p>PR 20 Procedural Requirement for certain ESP Surveys &#8211; Rev.3 May 2019 Clean.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/10150451/pr20rev3.pdf,,,,,Новый файл
PR 21 Rev2 CLN,"<p>PR 21 Procedural Requirement for Statutory Surveys by Exclusive Surveyors. Rev.2 Mar 2018 Clean.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/11083148/pr21rev2.pdf,,,,,Новый файл
PR 22 Deleted,"<p>PR 22 Procedural Requirement concerning IACS Societies’ involvement in monitoring CAS work. Deleted July 2009.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/11083233/pr_22_pdf107.pdf,,,,,Новый файл
PR 23 Rev1 Corr1 CLN,"<p>PR 23 Procedure for Reporting Cancellation of Approval of a Thickness Measurement Firm. Rev.1 (Complete Revision) Corr.1 December 2013.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/11083438/pr_23_pdf108.pdf,,,,,Новый файл
PR 23 Contact Details,"<p>PR 23 (Approval of Thickness Measurement Firms) Point of Contact Details &#8211; Updated in Nov 2023.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/17135343/PR-23-Contact-Details-Nov-2023.pdf,,,,,Новый файл
PR 24 Rev2 CLN,"<p>PR 24 Procedural Requirements for ISPS Code Certification &#8211; Rev.1 May 2019 Clean.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/11083527/pr24rev2.pdf,,,,,Новый файл
PR 25 Deleted,"<p>PR 25 Procedure for Training and Qualification of Maritime Security Auditors. Deleted in Mar 2009 (incorporated into PR 10 Rev.5 Mar 2009).</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/11084753/pr25-del-mar-2009.pdf,,,,,Новый файл
PR 26 Deleted,"<p>PR 26 Procedure for Reporting the List of Ships Complying with ISPS Code See also IMO&#8217;s ISPS Code Database &#8211; Deleted (Mar 2009).</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/11084841/pr_26_pdf110.pdf,,,,,Новый файл
PR 27 Deleted,"<p>PR 27 Transfer of ISPS Code Certification (TOSCA) Deleted Jan 2008.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/11084935/pr_27_pdf112.pdf,,,,,Новый файл
PR 28 Rev2 CLN,"<p>PR 28 Procedure for Change of Flag Rev.2 Jan 2018 Clean.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/11085029/pr28rev2.pdf,,,,,Новый файл
PR 29 Rev0 CLN,"<p>Definition of date of &#8216;contract for construction&#8217;. Rev.0 July 2009.</p>
",,https://iacs.s3.af-south-1.amazonaws.com/wp-content/uploads/2022/02/11085116/pr_29_pdf114.pdf,,,,,Новый файл
